,age,gender,experience,group,a1,l1,a2,l2,a3,l3,a4,l4,a5,l5,a1_score,a2_score,a3_score,a4_score,a5_score
0,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningful,words_counter,1,sum_indices_to_target,1,num_of_squares,1,i dont know,0,multiply_digits,1,1.0,0.8095238095238095,0.6206896551724138,0.0,1.0
1,Age.age_30_34,Gender.Male,Experience.two_to_four,Group.Meaningful,words_count,1,sum_of_num_to_target,1,sum_of_squares_diff,1,sum_exp_digits,1,multiply_num_digits,1,0.9166666666666666,0.6829268292682927,0.8823529411764706,1.0,0.8823529411764706
2,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
3,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,0.0,0.0,0.0,0.0,0.0
4,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningless,I do not know,0,I do not know,0,I do not know,0,exponential_sum,1,I do not know,0,0.0,0.0,0.0,0.4666666666666667,0.0
5,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningful,count_words,1,complementary,1,diff_squares_sum,1,sum_exp_digits,1,multiply_numbers,1,0.5,0.29411764705882354,0.5161290322580645,1.0,0.6451612903225806
6,Age.age_25_29,Gender.Male,Experience.two_to_four,Group.Meaningful,words_counter,1,indices_sum_to_value,1,sum_squares_diff,1,sum_exp_digits,1,multiply_digits,1,1.0,0.8292682926829268,0.967741935483871,1.0,1.0
7,Age.age_25_29,Gender.Male,Experience.five_or_more,Group.Meaningless,words_process,1,find_right_nums,1,I do not know,0,I do not know,0,digits_calc,1,1.0,0.9090909090909091,0.0,0.0,1.0
8,Age.age_20_24,Gender.Male,Experience.five_or_more,Group.Meaningless,count_words,1,I do not know,0,get_diff_alg,1,I do not know,0,I do not know,0,0.4166666666666667,0.0,0.72,0.0,0.0
9,Age.age_30_34,Gender.Male,Experience.five_or_more,Group.Meaningful,words_count,1,Index__,1,square__,1,multiply_digits_exponent,1,multiply_digits,1,0.9166666666666666,0.42857142857142855,0.6086956521739131,0.47368421052631576,1.0
10,Age.age_25_29,Gender.Female,Experience.two_to_four,Group.Meaningless,word_dict,1,i don't know,0,diff_alg,1,i don't know,0,i don't know,0,0.5454545454545454,0.0,0.7619047619047619,0.0,0.0
11,Age.age_35_plus,Gender.Male,Experience.two_to_four,Group.Meaningful,words_count,1,i don't remember,0,sum_squares_diff,1,i don't remember,0,i don't remember,0,0.9166666666666666,0.0,0.967741935483871,0.0,0.0
12,Age.age_25_29,Gender.Female,Experience.one_or_less,Group.Meaningless,Count_words_sum,1,Find_target_sum,1,Calc_squares_sum_diff,1,Calc_squares_sum,1,Num_digit_product,1,0.5,0.6666666666666666,0.5294117647058824,0.45161290322580644,0.5
