Timestamp,Do you agree?,Age,Gender,Years of programming experience,"Please pick a number, try to choose a random and unique one","According to the text, why do penguins waddle?",Answer 1,Valid 1,Corrected 1,Final 1,Answer 2,Valid 2,Corrected 2,Final 2,Answer 3,Valid 3,Corrected 3,Final 3,Answer 4,Valid 4,Corrected 4,Final 4,Answer 5,Valid 5,Corrected 5,Final 5
5/19/2021 16:04:21,Yes,29,Male,2-4 years,5,"Their feet are adapted to swimming, not walking.",words_counter,1,words_counter,1,sum_indices_to_target,1,sum_indices_to_target,1,num_of_squares,1,num_of_squares,1,i dont know,0,i dont know,0,multiply_digits,1,multiply_digits,1
5/19/2021 16:23:10,Yes,30,Male,2-4 years,7,"Their feet are adapted to swimming, not walking.",words_count,1,words_count,1,sum_of_num_to_target,1,sum_of_num_to_target,1,sum_of_squares_diff,1,sum_of_squares_diff,1,sum_exp_digits,1,sum_exp_digits,1,multiply_num_digits,1,multiply_num_digits,1
5/30/2021 16:13:08,Yes,26,Male,More than 5 years,8,"Their feet are adapted to swimming, not walking.",I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0
5/30/2021 18:52:37,Yes,27,Male,More than 5 years,2,"Their feet are adapted to swimming, not walking.",I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0
5/30/2021 19:46:01,Yes,26,Male,2-4 years,12,"Their feet are adapted to swimming, not walking.",I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,I do not know,0,exponential sum,1,exponential_sum,1,I do not know,0,I do not know,0
5/30/2021 22:32:56,Yes,26,Male,More than 5 years,9,"Their feet are adapted to swimming, not walking.",count_words,1,count_words,1,"something with ""complamantary""",?,complementary,1,diff_squares_sum,1,diff_squares_sum,1,sum_exp_digits,1,sum_exp_digits,1,multiply_numbers,1,multiply_numbers,1
5/30/2021 22:53:24,Yes,27,Male,2-4 years,11,"Their feet are adapted to swimming, not walking.",words_counter,1,words_counter,1,indices_sum_to_value,1,indices_sum_to_value,1,sum_squares_diff,1,sum_squares_diff,1,sum_exp_digits,1,sum_exp_digits,1,multiply_digits,1,multiply_digits,1
5/31/2021 0:37:22,Yes,27,Male,More than 5 years,4,"Their feet are adapted to swimming, not walking.",words_process,1,words_process,1,find_right_nums,1,find_right_nums,1,I do not know,0,I do not know,0,I do not know,0,I do not know,0,digits_calc,1,digits_calc,1
5/31/2021 9:58:27,Yes,23,Male,More than 5 years,12,"Their feet are adapted to swimming, not walking.",count_words,1,count_words,1,I do not know,0,I do not know,0,get_diff_alg,1,get_diff_alg,1,I do not know,0,I do not know,0,I do not know,0,I do not know,0
5/31/2021 14:09:32,Yes,33,Male,More than 5 years,9,"Their feet are adapted to swimming, not walking.",words_count,1,words_count,1,Index something something,?,Index__,1,square something something,?,square__,1,multiply_digits_exponent,1,multiply_digits_exponent,1,multiply_digits,1,multiply_digits,1
